FID,Status,Score,Match_type,Match_addr,Number,LONGITUDE,LATITUDE,UID,ProgType,Agency,ProgName,InvType,BedType,TargetPop,SubPop,PopB,PopC,McKVento,UtilizRate,Address,Address2,City_1,ZIP,GEOID,Contact,Title,Phone,Email,SPA,SD,CD,CTs,Beds,Units,PIT,SkidRow,Veterans
273,M,100,A,"11502 S Vermont Ave, Los Angeles, CA, 90044",1,-118.291513,33.929906,043-011420,RRH,Weingart Center Association,FSC Rapid Re-Housing,N,0,HC,Family,NA,NA,Yes,1,11502 S VERMONT AVE, ,Los Angeles,90044,62118,Kevin Martin,Program Manager,(213) 689-2282,kevinm@weingart.org,SPA 6,SD 2,CD 8,241300,199, ,199, , 
274,M,100,A,"11502 S Vermont Ave, Los Angeles, CA, 90044",1,-118.291513,33.929906,043-011422,ES,Weingart Center Association,FSC Emergency Shelter,N,Facility-based beds,HC,Family,NA,NA,Yes,0.71,11502 S. Vermont Ave Unit #D, ,Los Angeles,90044,62118,Kirk Tyler,Program Manager,(323) 531-7000,,SPA 6,SD 2,CD 8,241300,198, ,141, , 
275,M,100,A,"6525 S Normandie Ave, Los Angeles, CA, 90044",1,-118.300338,33.980224,092-006510,PSH,Coalition for Responsible Community Development,Community Build,C,0,SMF,Youth,NA,Youth (Emancipated Foster Youth),No,1,6525 S. Normandie Ave., ,Los Angeles,90044,62118,Gayle Wong,Director Assests Mangagment,(213) 473-1606,gwong@ltsc.org,SPA 6,SD 2,CD 8,237400,19, ,19, , 
276,M,100,A,"1126 W Imperial Hwy, Los Angeles, CA, 90044",1,-118.294975,33.930898,415-017351,PSH,"AMCAL Multi-Housing, Inc.",Terracina,N,0,SFHC,Family,NA,NA,No,1,1126 W Imperial Hwy, ,Los Angeles,90044,69037,Matthew Segerdal,Senior Project Manager,(818) 706-0694 x 159,msegerdal@amcalhousing.com,SPA 8,SD 2,NA,602800,26, ,26, , 
277,M,100,A,"2330 Beverly Blvd, Los Angeles, CA, 90057",1,-118.273633,34.068045,371-014950,OPH,Homeless Health Care Los Angeles,Access To Housing For Health (AHH) - Homeless Section 8 HACLA & HACoLA,C,0,SMF,Individual,NA,Chronically Homeless,Yes,1,2330 Beverly Boulevard, ,Los Angeles,90057,62118,Ranta,Gunadi,(626)586-1566,ratna.dewigunadi@hacola.org,SPA 4,SD 1,CD 13,208500,98, ,98, , 
278,M,100,A,"7900 S Western Ave, Los Angeles, CA, 90047",1,-118.308935,33.967268,083-011288,ES,Volunteers of America of Los Angeles,Winter Shelter - Bethel,N,Facility-based beds,SMF,Individual,NA,NA,Yes,0.83,7900 S WESTERN AVE, ,Los Angeles,90047,62118,Johnny Glanton,Program Manager,(310) 204-0690,jglanton@voala.org,SPA 6,SD 2,CD 8,238100,150, ,125, , 
279,M,100,A,"6701 S Western Ave, Los Angeles, CA, 90047",1,-118.309018,33.978481,101-010655,ES,Testimonial Community Love Center,Winter Shelter Program,C,Facility-based beds,SMF,Individual,NA,NA,Yes,1,6701 S WESTERN AVE, ,Los Angeles,90047,62118,Cynthia Carter,Project Director,(323) 291-6753,cindytclc@aol.com,SPA 6,SD 2,CD 9,229410,50, ,50, , 
280,M,100,A,"520 S La Fayette Park Pl, Los Angeles, CA, 90057",1,-118.282331,34.064259,210-001651,PSH,Asian Pacific Counseling and Treatment Center,Asian Pacific Counseling and Treatment Center,C,0,SMF+HC,Family,NA, ,No,0,520 S. La Fayette Park Pl., ,Los Angeles,90057,62118,,,,,SPA 4,SD 2,CD 1,208710,22, ,0, , 
281,M,100,A,"2330 Beverly Blvd, Los Angeles, CA, 90057",1,-118.273633,34.068045,059-005753,PSH,Homeless Health Care Los Angeles,Housing for Health,C,0,SMF+HC,Family,NA, ,Yes,0.83,2330 Beverly Boulevard, ,Los Angeles,90057,62118,Ranta,Gunadi,(626)586-1565,ratna.dewigunadi@hacola.org,SPA 4,SD 1,CD 13,208500,126, ,105, , 
282,M,90.87,A,"937 N Fairfax Ave, West Hollywood, CA, 90046",1,-118.361588,34.087799,414-017301,PSH,Affordable Living for the Aging,Janet L. Witkin Center,C,0,SMF,Individual,NA,Seniors (Aged 62+),No,1,937 Fairfax Ave, ,West Hollywood,90046,69037,Rachel Caraviello,VP of Programs,(323) 650-8034,rachel@alaseniorlving.org,SPA 4,SD 3,NA,700200,6, ,6, , 
283,M,100,A,"360 S Westlake Ave, Los Angeles, CA, 90057",1,-118.272051,34.061363,280-007303,TH,Mary Lind Foundation,"GPD - Mary Lind Foundation Transitional Housing Program - Royal Palms, Bimini and Rena B Recovery Center",C,0,SMF,Individual,NA,Substance Abusers,Yes,1.02,360 S. Westlake Ave., ,Los Angeles,90057,62118,Raneika Brooks,Data Coordinator,(213) 382-4241,rbrooks@marylind.org,SPA 4,SD 1,CD 1,208903,360, ,368, ,Veterans
284,M,100,A,"820 S Burlington Ave, Los Angeles, CA, 90057",1,-118.274642,34.053002,369-014850,PSH,"Women Organizing Resources, Knowledge & Services, Inc. (WORKS)",Young Burlington Apartments,C,0,SMF+HC,Youth,NA,Youth (Ages 18-25),Yes,0.85,820 S BURLINGTON AVE, ,Los Angeles,90057,62118,Yoko Sugioka,Program Manger,(323) 341-7028,yoko@worksusa.org,SPA 4,SD 1,CD 1,209403,20, ,17, , 
285,M,100,A,"1920 W 3rd St, Los Angeles, CA, 90057",1,-118.270869,34.062104,028-006415,PSH,"LAMP Community, Inc.",Stabilization Supportive Housing,C,0,SMF,Individual,NA, ,Yes,1,1920 W. 3rd St., ,Los Angeles,90057,62118,Jose Manriquez,Manager,(213) 488-9559 x 204,josem@lampcommunity.org,SPA 4,SD 1,CD 1,208903,2, ,2, , 
287,M,100,A,"10510 S Vermont Ave, Los Angeles, CA, 90044",1,-118.291529,33.940605,126-005550,TH,"Higher Goals, Inc.",Transitional Home,C,0,SMF,Individual,HIV,NA,No,0.35,10510 S. Vermont Ave., ,Los Angeles,90044,62118,Patricia Hamilton,Program Manager,(323) 755-9702,pathamilton85@yahoo.com,SPA 6,SD 2,CD 8,241200,20, ,7, , 
288,M,100,A,"2403 W 4th St, Los Angeles, CA, 90057",1,-118.27658,34.064,438-018600,PSH,Affordable Housing CDC,Knob Hills Apts,C,0,SMF,Individual,NA,NA,No,1,2403 W 4th St, ,Los Angeles,90057,62118,Joe Stalzer,Executive Director,(949) 429-1250,jstalzer@ahcdc.com,SPA 4,SD 1,CD 1,208800,44, ,44, , 
289,M,100,A,"256 S Occidental Blvd, Los Angeles, CA, 90057",1,-118.281756,34.068018,145-002702,TH,Center for Human Rights and Constitutional Law,Freedom House - Casa Libre Homeless Youth Shelter,C,0,YM,Youth,NA,Youth (Ages 12-17),Yes,0.5,256 S. Occidental Blvd., ,Los Angeles,90057,62118,Ehecatl Chumacero-Rojas,Program Director,(213) 388-8693,erojas@centerforhumanrights.org,SPA 4,SD 1,CD 1,209401,8, ,4, , 
290,M,100,A,"2600 Wilshire Blvd, Los Angeles, CA, 90057",1,-118.281475,34.060449,374-015102,PSH,US Department of Veterans Affairs,VASH - HACLA,C,0,SMF+HC,Family,NA, ,No,1,2600 WILSHIRE BLVD, ,Los Angeles,90057,62118,Paul Stevenson,Dir of Veteran's Services,(323) 644-2200,pauls@epath.org,SPA 4,SD 2,CD 1,208720,2533, ,2533, ,Veterans
291,M,100,A,"357 S Westlake Ave, Los Angeles, CA, 90057",1,-118.272126,34.06148,013-002601,ES,"Catholic Charities of Los Angeles, Inc.",Angel's Flight Shelter,C,Facility-based beds,YMF,Youth,NA,NA,Yes,0.38,357 S. Westlake Ave., ,Los Angeles,90057,62118,Patricia Chaidez,Interim Program Director,(213) 413-2311, ,SPA 4,SD 1,CD 1,208903,16, ,6, , 
293,M,92.5,A,"1325 N Western Ave, Los Angeles, CA, 90027",1,-118.309281,34.095413,018-003810,ES,Covenant House of California,Year Round Overnight Emergency Shelter,C,Facility-based beds,SMF,Youth,NA,Youth (Ages 18-25),No,0.9,1325 N. Western Ave., ,Los Angeles,90038,62118,Tanisha Bundy,Outreach Coordinator,(323) 461-3131,tbundy@covca.org,SPA 4,SD 3,CD 13,190901,10, ,9, , 
294,M,100,A,"1117 E 108th St, Los Angeles, CA, 90059",1,-118.255192,33.93833,416-017400,ES,The Restoration Foundation,Restoration House,C,Facility-based beds,SMF,Individual,NA,Chronically Homeless,No,0.7,1117 E 108TH ST, ,Los Angeles,90059,62118,Mildred Benson,Pastor,(323) 842-5673,restorationfdn@aol.com,SPA 6,SD 2,CD 8,240800,50, ,35, , 
295,M,100,A,"116 W 111th St, Los Angeles, CA, 90061",1,-118.274586,33.934736,058-005650,PSH,His Sheltering Arms,The Pearl Center,C,0,SF,Individual,NA,Seniors (Aged 55+),Yes,0.42,116 West  111th Street, ,Los Angeles,90061,62118,Rhoen Moore,Executive Director,(323) 755-6646,rmoore@hisshelteringarms.org,SPA 6,SD 2,CD 8,241120,12, ,5, , 
296,M,99.2,A,"130 S La Fayette Park Pl, Los Angeles, CA, 90057",1,-118.278717,34.069904,011-001121,PSH,A Community of Friends,Vista Nueva Apartments,C,0,HC,Family,NA,Mentally Ill,Yes,0.77,130 S. Lafayette Park Pl., ,Los Angeles,90057,62118,Dora Leong Gallo,CEO,(213) 480-0809,dgallo@acof.org,SPA 4,SD 1,CD 13,208620,102, ,79, , 
297,M,100,A,"208 S Bonnie Brae St, Los Angeles, CA, 90057",1,-118.26899,34.063571,177-014502,PSH,Affordable Living for the Aging,Bonnie Brae,C,0,SMF,Individual,NA,Seniors (Aged 62+),No,1,208 S. Bonnie Brae St., ,Los Angeles,90057,62118,Debbie Woodward, ,(213) 261-3858,deborah@alaseniorliving.org,SPA 4,SD 1,CD 13,208400,45, ,45, , 
298,M,100,A,"5721 S Western Ave, Los Angeles, CA, 90062",1,-118.308996,33.99048,101-010652,TH,Testimonial Community Love Center,Transitional Housing Program,C,0,HC,Family,NA,NA,No,0.83,5721 S WESTERN AVE, ,Los Angeles,90062,62118,Cynthia Carter,Project Director,(323) 291-6753,cindytclc@aol.com,SPA 6,SD 2,CD 8,232500,30, ,25, , 
300,M,100,A,"11152 S Main St, Los Angeles, CA, 90061",1,-118.273814,33.933616,146-007803,ES,MJB Recovery,14 Hour Year Round Emergency Shelter Program,C,Facility-based beds,SMF,Individual,NA,NA,No,1,11152 S Main St, ,Los Angeles,90061,62118,Darrell Nelms,Executive Director,(323) 777-2491,mjbrecovery@aol.com,SPA 6,SD 2,CD 8,241120,30, ,30, , 
301,M,90.87,A,"409 S Burlington Ave, Los Angeles, CA, 90057",1,-118.269751,34.060139,234-003404,PSH,Clifford Beers Housing,Burlington Family Apartments,C,0,SMF+HC,Family,NA, ,Yes,1,409-415 S Burlington Ave, ,Los Angeles,90057,62118,,,,,SPA 4,SD 1,CD 1,208904,92, ,92, , 
302,M,100,A,"13224 Avalon Blvd, Los Angeles, CA, 90061",1,-118.265223,33.912392,011-001138,PSH,A Community of Friends,Avalon Apartments,N,0,SMF+HC,Family,NA,Multi-Diagnosed,No,0.86,13224 Avalon Boulevard, ,Los Angeles,90061,69037,Dora Leong Gallo,CEO,(213) 480-0809,dgallo@acof.org,SPA 6,SD 2,NA,540800,111, ,95, , 
303,M,89.04,A,"628 S Alvarado St, Los Angeles, CA, 90057",1,-118.275391,34.058585,277-007050,PSH,Affordable Living for the Aging,Parkview on the Park Apartments,C,0,SMF,Individual,NA,Seniors (Aged 62+),No,0.82,628 S. Alvarado Blvd., ,Los Angeles,90057,62118,Charles Kim, ,(213) 629-9172,ckim@lahousingpartnership.com,SPA 4,SD 1,CD 1,208903,40, ,33, , 
304,M,100,A,"3941 Rockwood St, Los Angeles, CA, 90063",1,-118.180614,34.047482,078-006307,PSH,"Jovenes, Inc.",My Home - Mi Casa,N,0,SMF,Youth,NA, ,No,0.11,3941 Rockwood St., ,Los Angeles,90063,69037,Andrea Marchetti,Executive Director,(323) 260-8029,Amarchetti@jovenesinc.org,SPA 7,SD 1,NA,530902,9, ,1, , 
306,M,100,A,"3885 S Western Ave, Los Angeles, CA, 90062",1,-118.308971,34.015025,011-001100,PSH,A Community of Friends,39 West Apartments,C,0,SMF,Individual,NA,Multi-Diagnosed,Yes,0.97,3885 S. Western Ave., ,Los Angeles,90062,62118,Dora Leong Gallo,CEO,(213) 480-0809,dgallo@acof.org,SPA 6,SD 2,CD 8,231400,33, ,32, , 
307,M,100,A,"3837 S Western Ave, Los Angeles, CA, 90062",1,-118.308969,34.016418,011-001117,PSH,A Community of Friends,Santos Plaza,C,0,SMF,Individual,NA,Mentally Ill,Yes,1,3837 S. Western Ave., ,Los Angeles,90062,62118,Dora Leong Gallo,CEO,(213) 480-0809,dgallo@acof.org,SPA 6,SD 2,CD 8,231400,36, ,36, , 
308,M,92.5,A,"5500 S Hoover St, Los Angeles, CA, 90037",1,-118.287048,33.992344,152-004604,ES,"First To Serve, Inc.",Winter Shelter Program - South Los Angeles,C,Facility-based beds,SMF,Individual,NA,Chronically Homeless,Yes,1,5500 S. Hoover St., ,Los Angeles,90044,62118,Kirk Tyler,Program Manager,(323) 758-4670,ktyler@firsttoserve.org,SPA 6,SD 2,CD 9,232700,257, ,257, , 
309,M,100,A,"2346 Cotner Ave, Los Angeles, CA, 90064",1,-118.437349,34.037105,044-008550,ES,People Assisting the Homeless (PATH),PATH Westside Center,C,Facility-based beds,SMF,Individual,NA,NA,Yes,0.94,2346 Cotner Ave., ,Los Angeles,90064,62118,Mario Cardona,Associate Director,(323) 960-3336,mcardona@epath.org,SPA 5,SD 2,CD 5,267700,32, ,30, , 
,,,,,1,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,M,100,A,"12841 W Washington Blvd, Los Angeles, CA, 90066",1,-118.437602,33.99561,180-011009,RRH,Upward Bound house,First 5 LA Rental Assistance,C,0,HC,Family,NA,NA,No,1,12841 W WASHINGTON BLVD, ,Los Angeles,90066,69037,Keri Homolka,Administrative Assistant,(310) 306-1865,khomolka@upwardboundhouse.org,SPA 5,SD 2,NA,702803,68, ,68, , 
315,M,100,A,"12841 W Washington Blvd, Culver City, CA, 90066",1,-118.437602,33.99561,180-011010,ES,Upward Bound house,FSC Emergency Shelter,N,Facility-based beds,HC,Family,NA,NA,Yes,0.5,12841 W WASHINGTON BLVD, ,Culver City,90066,63384,Keri Homolka,Administrative Assistant,(310) 306-1865,khomolka@upwardboundhouse.org,SPA 5,SD 2,NA,702803,40, ,20, , 
316,M,100,A,"12841 W Washington Blvd, Los Angeles, CA, 90066",1,-118.437602,33.99561,180-011001,ES,Upward Bound house,Emergency Family Shelter,C,Facility-based beds,HC,Family,NA,NA,Yes,0.65,12841 W WASHINGTON BLVD, ,Los Angeles,90066,69037,Keri Homolka,Administrative Assistant,(310) 306-1865,khomolka@upwardboundhouse.org,SPA 5,SD 2,NA,702803,23, ,15, , 
317,M,100,A,"12841 W Washington Blvd, Los Angeles, CA, 90066",1,-118.437602,33.99561,180-011011,RRH,Upward Bound house,First 5 LA Rental Assistance RRH Round 2,C,0,HC,Family,NA, ,No,1,12841 W WASHINGTON BLVD, ,Los Angeles,90066,69037,Keri Homolka,Administrative Assistant,(310) 306-1865,khomolka@upwardboundhouse.org,SPA 5,SD 2,NA,702803,38, ,38, , 
318,M,85.48,A,"1938 Argyle Ave, Los Angeles, CA, 90068",1,-118.325144,34.106062,111-111300,PSH,Hollywood Community Housing Corporation,Argyle Court Apartments,C,0,SMF+HC,Family,HIV, ,No,1.04,1938 N. Argyle Ave., ,Hollywood,90068,62118,Consuelo Lopez,Program Manager,(323) 454-6208,clopez@hollywoodhousing.org,SPA 4,SD 3,CD 4,189500,27, ,28, , 
319,M,100,A,"8300 Santa Monica Blvd, West Hollywood, CA, 90069",1,-118.370321,34.090646,400-016750,PSH,City of West Hollywood,Shelter+ Care Tenant Based Rental Assistance Project,C,0,SMF,Individual,NA,Chronically Homeless,No,1,8300 Santa Monica Blvd., ,West Hollywood,90069,69037,Leslie Isenberg,Social Services Program Admin.,(323) 848-6306,Lisenberg@weho.org,SPA 4,SD 3,NA,700300,20, ,20, , 
320,M,92.5,A,"11301 Wilshire Blvd, Los Angeles, CA, 90025",1,-118.457936,34.053385,040-009413,TH,The Salvation Army,GPD - Naomi House,C,0,SF,Individual,NA,NA,No,0.87,11301 WILSHIRE BLVD, ,Los Angeles,90073,69037,Wanda Wells,Director of Operations,(310) 478-3711 x 49049,wanda.wells@usw.salvationarmy.org,SPA 5,SD 3,NA,701100,15, ,13, ,Veterans
321,M,92.5,A,"11301 Wilshire Blvd, Los Angeles, CA, 90025",1,-118.457936,34.053385,040-009424,TH,The Salvation Army,GPD - The Salvation Army SC Division LA The Haven,C,0,SM,Individual,NA,Substance Abusers,Yes,0.97,11301 WILSHIRE BLVD, ,Los Angeles,90073,69037,Wanda Wells,Director of Operations,(310) 478-3711 x 49049,wanda.wells@usw.salvationarmy.org,SPA 5,SD 3,NA,701100,95, ,92, ,Veterans
322,M,81.54,M,"11211 Southwest Blvd, Los Angeles, CA, 90044",1,-118.288853,33.933184,394-017801,TH,A New Way of Life,Transitional Housing Program,N,0,SFHC,Family,NA, ,Yes,0.6,PO Box 875288, ,Los Angeles,90087,62118,,,,,SPA 6,SD 2,CD 8,241200,5, ,3, , 
323,M,92.5,A,"11301 Wilshire Blvd, Los Angeles, CA, 90025",1,-118.457936,34.053385,040-009406,TH,The Salvation Army,GPD - Exodus Lodge Transitional Housing,C,0,SMF,Individual,NA,NA,No,0.82,11301 WILSHIRE BLVD, ,Los Angeles,90073,69037,Wanda Wells,Director of Operations,(310) 478-3711 x 49049,wanda.wells@usw.salvationarmy.org,SPA 5,SD 3,NA,701100,40, ,33, ,Veterans
324,M,92.5,A,"11301 Wilshire Blvd, Los Angeles, CA, 90025",1,-118.457936,34.053385,040-009411,ES,The Salvation Army,HCHV/EH - The Salvation Army SC Division LA The Haven - Senior,C,Facility-based beds,SM,Individual,NA,NA,No,0.76,11301 WILSHIRE BLVD, ,Los Angeles,90073,69037,Wanda Wells,Director of Operations,(310) 478-3711 x 49049,wanda.wells@usw.salvationarmy.org,SPA 5,SD 3,NA,701100,25, ,19, ,Veterans
325,M,92.5,A,"11301 Wilshire Blvd, Los Angeles, CA, 90025",1,-118.457936,34.053385,040-009401,ES,The Salvation Army,HCHV/EH - Alpha Center,C,Facility-based beds,SMF,Individual,NA,NA,No,0.69,11301 WILSHIRE BLVD, ,Los Angeles,90073,69037,Wanda Wells,Director of Operations,(310) 478-3711 x 49049,wanda.wells@usw.salvationarmy.org,SPA 5,SD 3,NA,701100,45, ,31, ,Veterans
326,M,79.91,M,"2471 N Beachwood Dr, Los Angeles, CA, 90068",1,-118.321572,34.114918,121-007200,TH,Los Angeles Youth Network (LAYN),Beachwood House,C,0,YMF,Youth,NA,Youth (Ages 18-25),Yes,0.75,2471 Beachwood St., ,Los Angeles,90068,62118,Chris Albidrez,Outreach Manager,(323) 957-7757,calbidrez@layn.org,SPA 4,SD 3,CD 4,189400,12, ,9, , 
327,M,92.5,A,"11301 Wilshire Blvd, Los Angeles, CA, 90025",1,-118.457936,34.053385,040-009449,RRH,The Salvation Army,SSVF - Supportive Services for Veteran Families,N,0,HC,Family,NA, ,No,1,11301 WILSHIRE BLVD, ,Los Angeles,90073,69037,Steve Lytle,Director,(323) 263-1206,steve.lytle@usw.salvationarmy.org,SPA 5,SD 3,NA,701100,13, ,13, , 
328,M,92.5,A,"11301 Wilshire Blvd, Los Angeles, CA, 90025",1,-118.457936,34.053385,316-011202,ES,Veterans Health Administration,VADOM - Domiciliary,C,Facility-based beds,SMF,Individual,NA,NA,No,0.5,11301 WILSHIRE BLVD, ,Los Angeles,90073,69037,John Nikashima,Program Analyst,(310) 478-3711 x 41946,johnnikashina@va.gov,SPA 5,SD 3,NA,701100,296, ,148, ,Veterans
330,M,100,A,"5600 Rickenbacker Rd, Bell, CA, 90201",1,-118.163876,33.989311,040-009405,TH,The Salvation Army,The Salvation Army SC Division LA Bell Shelter II,C,0,SMF,Individual,NA,NA,Yes,1,5600 RICKENBACKER RD, ,Bell,90201,69037,Steve Lytle,Director,(323) 263-1206,steve.lytle@usw.salvationarmy.org,SPA 7,SD 1,NA,532304,96, ,96, , 
331,M,100,A,"5600 Rickenbacker Rd, Bell, CA, 90201",1,-118.163876,33.989311,040-009445,ES,The Salvation Army,FSP Pacific Clinics,C,Facility-based beds,SMF,Individual,NA,NA,No,1,5600 RICKENBACKER RD, ,Bell,90201,69037,Alma Martinez,Program Manager,(323) 263-1206,alma.martinez-villagomez@usw.salvationarmy.org,SPA 7,SD 1,NA,532304,3, ,3, , 
332,M,100,A,"5600 Rickenbacker Rd, Bell, CA, 90201",1,-118.163876,33.989311,040-009447,TH,The Salvation Army,Wellness Center Transitional Housing (non-HMIS),C,0,SMF,Individual,NA,NA,No,0.73,5600 RICKENBACKER RD, ,Bell,90201,69037,Alma Martinez,Program Manager,(323) 263-1206,alma.martinez-villagomez@usw.salvationarmy.org,SPA 7,SD 1,NA,207710,11, ,8, , 
333,M,100,A,"5600 Rickenbacker Rd, Bell, CA, 90201",1,-118.163876,33.989311,040-009431,ES,The Salvation Army,The Salvation Army Bell Shelter,C,Facility-based beds,SMF,Individual,NA,NA,Yes,1,5600 RICKENBACKER RD, ,Bell,90201,69037,Steve Lytle,Director,(323) 263-1206,steve.lytle@usw.salvationarmy.org,SPA 7,SD 1,NA,532304,40, ,40, , 
334,M,100,A,"5600 Rickenbacker Rd, Bell, CA, 90201",1,-118.163876,33.989311,040-009402,TH,The Salvation Army,Bell Shelter I - 54 Bed Emergency Shelter,C,0,SMF,Individual,NA,NA,Yes,1,5600 RICKENBACKER RD, ,Bell,90201,69037,Steve Lytle,Director,(323) 263-1206,steve.lytle@usw.salvationarmy.org,SPA 7,SD 1,NA,532304,54, ,54, , 
335,M,100,A,"5600 Rickenbacker Rd, Bell, CA, 90201",1,-118.163876,33.989311,040-009444,ES,The Salvation Army,DMH Emergency Shelter,C,Facility-based beds,SMF+HC,Family,NA,Mentally Ill,No,1,5600 RICKENBACKER RD, ,Bell,90201,69037,Alma Martinez,Program Manager,(323) 263-1206,alma.martinez-villagomez@usw.salvationarmy.org,SPA 7,SD 1,NA,532304,5, ,5, , 
336,M,100,A,"5600 Rickenbacker Rd, Bell, CA, 90201",1,-118.163876,33.989311,024-006358,ES,"JWCH Institute, Inc.",Recuperative Care - Bell Shelter,C,Facility-based beds,SMF,Individual,HIV,NA,No,0.93,5600 Rickenbacker Rd., ,Bell,90201,69037,Marcus Hong,Director,(323) 356-2545,mhong@jwchinstitute.org,SPA 7,SD 1,NA,532304,30, ,28, , 
337,M,92.5,A,"2133 S Central Ave, Los Angeles, CA, 90011",1,-118.252545,34.022354,011-001104,PSH,A Community of Friends,Central Court Apartments,C,0,SMF+HC,Family,NA,Mentally Ill,Yes,0.94,2133 S. Central Ave., ,Los Angeles,90111,62118,Dora Leong Gallo,CEO,(213) 480-0809,dgallo@acof.org,SPA 6,SD 2,CD 9,226420,18, ,17, , 
338,M,100,A,"5600 Rickenbacker Rd, Bell, CA, 90201",1,-118.163876,33.989311,040-009404,ES,The Salvation Army,Winter Shelter Program,C,Facility-based beds,SMF,Individual,NA,NA,Yes,1,5600 RICKENBACKER RD, ,Bell,90201,69037,Steve Lytle,Director,(323) 263-1206,steve.lytle@usw.salvationarmy.org,SPA 7,SD 1,NA,532304,72, ,72, , 
339,M,100,A,"5600 Rickenbacker Rd, Bell, CA, 90201",1,-118.163876,33.989311,040-009438,TH,The Salvation Army,Bell Shelter,C,0,SMF,Individual,NA,NA,Yes,0.86,5600 RICKENBACKER RD, ,Bell,90201,69037,Steve Lytle,Director,(323) 263-1206,steve.lytle@usw.salvationarmy.org,SPA 7,SD 1,NA,532304,42, ,36, , 
340,M,100,PP, ,1,-118.208474,33.896234,034-009651,TH,"Shields For Families, Inc.",Naomi Village,C,0,SFHC,Family,NA,Substance Abusers,Yes,0.79,Confidential, ,Compton,90221,60804,Brenda Perez,Housing Case Manager,(323) 242-5000,bperez@shieldsforfamilies.org,SPA 6,SD 2,NA,542000,62, ,49, , 
341,M,100,PP, ,1,-118.206781,33.896096,034-009650,TH,"Shields For Families, Inc.",Keith Village,C,0,SMHC,Family,NA,Substance Abusers,Yes,0.81,Confidential, ,Compton,90221,60804,Brenda Perez,Housing Case Manager,(323) 242-5000,bperez@shieldsforfamilies.org,SPA 6,SD 2,NA,542000,32, ,26, , 
342,M,100,A,"528 W Almond St, Compton, CA, 90220",1,-118.23147,33.894141,239-003651,ES,Compton Welfare Rights Organization,Emergency Homeless Shelter,N,Facility-based beds,SFHC,Family,NA, ,Yes,0.84,528 W. Almond St., ,Compton,90220,60804,Sheila Youngblood,Director,(310) 631-5192,,SPA 6,SD 2,NA,542502,19, ,16, , 
343,M,100,A,"528 W Almond St, Compton, CA, 90220",1,-118.23147,33.894141,239-003650,ES,Compton Welfare Rights Organization,Emergency Shelter,C,Facility-based beds,SMHC,Family,NA,NA,Yes,0.92,528 W. Almond St., ,Compton,90220,60804,Sheila Youngblood,Director,(310) 631-5193, ,SPA 6,SD 2,NA,542502,12, ,11, , 
344,M,100,A,"5720 Clara St, Bell Gardens, CA, 90201",1,-118.164607,33.963026,365-014650,PSH,Abode Communities,Terra Bella,C,0,SMF,Individual,NA,Mentally Ill,No,1,5720 Clara St, ,Bell Gardens,90201,69037,Robin Hughes,President and Chief Executive Officer,(213) 629-2702,info@abodecommunities.org,SPA 7,SD 1,NA,534202,80, ,80, , 
345,M,100,A,"15810 S Frailey Ave, Compton, CA, 90221",1,-118.190732,33.889656,417-017501,PSH,LINC Housing,Seasons at Compton,C,0,SMF,Individual,NA, ,Yes,0.96,15810 S Frailey Ave, ,Compton,90221,60804,,,,,SPA 6,SD 2,NA,542102,84, ,81, , 
346,M,100,A,"2010 E El Segundo Blvd, Compton, CA, 90222",1,-118.236958,33.916092,011-001119,PSH,A Community of Friends,Step Out Apartments,C,0,SMF,Youth,NA,Youth (Emancipated Foster Youth),Yes,0.7,2010 E El Segundo Blvd., ,Compton,90222,69037,Dora Leong Gallo,CEO,(213) 480-0809,dgallo@acof.org,SPA 6,SD 2,NA,541400,20, ,14, , 
347,M,100,A,"3819 Motor Ave, Culver City, CA, 90232",1,-118.403661,34.019996,021-005807,PSH,Homes for Life Foundation,Denker House,C,0,SMF,Individual,NA,Mentally Ill,Yes,0.98,3819 Motor Avenue, ,Culver City,90232,69037,Deborah Gibson,Executive Assistant,(310) 337-7417,dgibson@homesforlife.org,SPA 5,SD 2,NA,269902,56, ,55, , 
348,M,100,A,"11500 Paramount Blvd, Downey, CA, 90241",1,-118.139571,33.94039,072-010070,PSH,"Southern California Alcohol and Drug Program, Inc.",Shelter Plus Care Program,C,0,SMF,Individual,NA,Substance Abusers,Yes,1,11500 PARAMOUNT BLVD, ,Downey,90241,61032,Dawn Estes,Program Director,(562) 923-4545 x 2267,shelterpluscare@scadpinc.org,SPA 7,SD 4,NA,551300,100, ,100, , 
349,M,96.62,A,"15727 S Atlantic Ave, East Compton, CA, 90221",1,-118.193075,33.89034,365-014651,PSH,Abode Communities,Casa Dominguez,C,0,SMF+HC,Youth,NA,Youth (Emancipated Foster Youth),No,1.01,15727 S. Atlantic Ave, ,E. Rancho Dominguez,90221,69037,Robin Hughes,President and Chief Executive Officer,(213) 629-2702,info@abodecommunities.org,SPA 6,SD 2,NA,542102,222, ,224, , 
